id	text	w	h
wushen_jzp/Music/images/wushenqinpu_1_9.png	['Music', '⿱', 'TECHNIQUE_SAN_YIN', '⿹', 'RIGHT_GOU', '1']	27	42
wushen_jzp/Music/images/wushenqinpu_1_10.png	['Music', '⿸', 'RIGHT_BO', '6']	31	29
wushen_jzp/Music/images/wushenqinpu_1_11.png	['Music', '⿹', 'RIGHT_GOU', '4']	28	37
wushen_jzp/Music/images/wushenqinpu_1_13.png	['Music', '⿹', 'RIGHT_DA', '1']	33	32
wushen_jzp/Music/images/wushenqinpu_1_14.png	['Music', '⿸', 'RIGHT_BO', '6']	33	40
wushen_jzp/Music/images/wushenqinpu_1_15.png	['Music', '⿹', 'RIGHT_DA', '1']	32	30
wushen_jzp/Music/images/wushenqinpu_1_16.png	['Music', '⿹', 'RIGHT_GOU', '4']	26	39
wushen_jzp/Music/images/wushenqinpu_1_17.png	['Music', '⿸', 'RIGHT_LI', '⿱', '7', '6']	35	36
wushen_jzp/Music/images/wushenqinpu_1_18.png	['Music', '⿹', 'RIGHT_DA', '1']	28	31
wushen_jzp/Music/images/wushenqinpu_1_19.png	['Music', '⿸', 'RIGHT_BO', '6']	35	33
wushen_jzp/Music/images/wushenqinpu_1_20.png	['Music', '⿱', '⿰', 'LEFT_FINGER_DA', '9', '⿺', 'RIGHT_TIAO', '5']	33	39
wushen_jzp/Music/images/wushenqinpu_1_21.png	['Music', '⿱', '⿰', 'LEFT_FINGER_MING', '10', '⿹', 'RIGHT_GOU', '4']	27	40
wushen_jzp/Music/images/wushenqinpu_1_22.png	['Music', '⿱', '⿰', 'LEFT_FINGER_DA', '9', '⿺', 'RIGHT_TIAO', '6']	37	34
wushen_jzp/Music/images/wushenqinpu_1_24.png	['Music', '⿱', '⿰', 'LEFT_FINGER_MING', '10', '⿺', 'RIGHT_TIAO', '4']	36	34
wushen_jzp/Music/images/wushenqinpu_1_25.png	['Music', '⿱', 'TECHNIQUE_SAN_YIN', '⿹', 'RIGHT_GOU', '1']	26	43
wushen_jzp/Music/images/wushenqinpu_1_26.png	['Music', '⿱', 'TECHNIQUE_SAN_YIN', '⿺', 'RIGHT_TIAO', '3']	34	39
wushen_jzp/Music/images/wushenqinpu_1_27.png	['Music', '⿱', '⿰', 'LEFT_FINGER_ZHONG', '10', '⿹', 'RIGHT_GOU', '1']	26	39
wushen_jzp/Music/images/wushenqinpu_1_29.png	['Music', '⿱', 'TECHNIQUE_SAN_YIN', '⿹', 'RIGHT_GOU', '4']	27	44
wushen_jzp/Music/images/wushenqinpu_1_30.png	['Music', '⿱', '⿰', 'LEFT_FINGER_DA', '9', '⿺', 'RIGHT_TIAO', '6']	37	38
wushen_jzp/Music/images/wushenqinpu_1_31.png	['Music', '⿱', '⿰', 'LEFT_FINGER_DA', '9', '⿺', 'RIGHT_TIAO', '5']	38	39
wushen_jzp/Music/images/wushenqinpu_1_32.png	['Music', '⿱', '⿰', 'LEFT_FINGER_MING', '10', '⿹', 'RIGHT_GOU', '4']	27	42
wushen_jzp/Music/images/wushenqinpu_1_33.png	['Music', '⿱', '⿰', 'LEFT_FINGER_DA', '9', '⿹', 'RIGHT_GOU', '5']	26	39
wushen_jzp/Music/images/wushenqinpu_1_34.png	['Music', '⿱', '⿹', 'RIGHT_GOU', 'O_JIAN', '⿹', 'RIGHT_GOU', 'O_JIAN']	27	47
wushen_jzp/Music/images/wushenqinpu_1_36.png	['Music', '⿱', '⿹', 'RIGHT_GOU', 'O_JIAN', '⿹', 'RIGHT_GOU', '6']	26	45
wushen_jzp/Music/images/wushenqinpu_1_37.png	['Music', '⿱', '⿰', 'LEFT_FINGER_MING', '10', 'LEFT_DUIQI']	33	42
wushen_jzp/Music/images/wushenqinpu_1_38.png	['Music', '⿱', 'TECHNIQUE_SAN_YIN', '⿺', 'RIGHT_TIAO', '6']	36	39
wushen_jzp/Music/images/wushenqinpu_1_39.png	['Music', '⿱', '⿰', 'LEFT_FINGER_MING', '10', '⿹', 'RIGHT_GOU', '4']	26	42
wushen_jzp/Music/images/wushenqinpu_1_40.png	['Music', '⿱', 'O_JIAN', '⿹', 'RIGHT_GOU', '4']	24	42
wushen_jzp/Music/images/wushenqinpu_1_42.png	['Music', '⿱', '⿰', 'LEFT_FINGER_ZHONG', '10', '⿹', 'RIGHT_DA', '1']	33	38
wushen_jzp/Music/images/wushenqinpu_1_44.png	['Music', '⿱', 'TECHNIQUE_SAN_YIN', '⿺', 'RIGHT_TIAO', '3']	33	38
wushen_jzp/Music/images/wushenqinpu_1_45.png	['Music', '⿱', '⿰', 'LEFT_FINGER_ZHONG', '10', '⿹', 'RIGHT_GOU', '1']	27	43
wushen_jzp/Music/images/wushenqinpu_1_46.png	['Music', '⿱', 'O_JIAN', '⿹', 'RIGHT_GOU', '1']	25	42
wushen_jzp/Music/images/wushenqinpu_1_48.png	['Music', '⿱', 'TECHNIQUE_SAN_YIN', '⿹', 'RIGHT_GOU', '1']	28	44
wushen_jzp/Music/images/wushenqinpu_1_49.png	['Music', '⿸', 'RIGHT_BO', '6']	34	30
wushen_jzp/Music/images/wushenqinpu_1_50.png	['Music', '⿳', '⿰', 'LEFT_FINGER_ZHONG', '10', '⿹', 'RIGHT_GOU', 'O_JIAN', '⿹', 'RIGHT_GOU', '1']	25	48
wushen_jzp/Music/images/wushenqinpu_1_51.png	['Music', '⿳', '⿰', 'LEFT_FINGER_MING', '10', '⿹', 'RIGHT_GOU', 'O_JIAN', '⿹', 'RIGHT_GOU', '2']	23	43
wushen_jzp/Music/images/wushenqinpu_1_53.png	['Music', '⿳', '⿰', 'LEFT_FINGER_DA', '9', 'RIGHT_MO', '3']	30	38
wushen_jzp/Music/images/wushenqinpu_1_54.png	['Music', '⿹', 'RIGHT_GOU', '2']	24	37
wushen_jzp/Music/images/wushenqinpu_1_55.png	['Music', '⿱', '⿰', 'LEFT_FINGER_MING', '10', 'LEFT_DUIQI']	33	41
wushen_jzp/Music/images/wushenqinpu_1_56.png	['Music', '⿱', '⿰', 'LEFT_FINGER_ZHONG', '10', '⿹', 'RIGHT_DA', '1']	33	42
wushen_jzp/Music/images/wushenqinpu_1_58.png	['Music', '⿱', 'TECHNIQUE_SAN_YIN', '⿹', 'RIGHT_GOU', '4']	28	43
wushen_jzp/Music/images/wushenqinpu_1_59.png	['Music', '⿱', '⿰', 'LEFT_FINGER_DA', '9', '⿺', 'RIGHT_TIAO', '6']	34	44
wushen_jzp/Music/images/wushenqinpu_1_60.png	['Music', '⿱', '⿰', 'LEFT_FINGER_ZHONG', 'LEFT_CHUO', '⿹', 'RIGHT_DA', '1']	34	38
wushen_jzp/Music/images/wushenqinpu_1_62.png	['Music', '⿳', '⿰', 'LEFT_FINGER_DA', '9', 'RIGHT_MO', '3']	28	43
wushen_jzp/Music/images/wushenqinpu_1_63.png	['Music', '⿹', 'RIGHT_GOU', '2']	25	39
wushen_jzp/Music/images/wushenqinpu_1_64.png	['Music', '⿱', '⿰', 'LEFT_FINGER_MING', '10', 'LEFT_DUIQI']	32	42
wushen_jzp/Music/images/wushenqinpu_1_65.png	['Music', '⿱', '⿰', 'LEFT_FINGER_ZHONG', '10', '⿹', 'RIGHT_DA', '1']	34	41
wushen_jzp/Music/images/wushenqinpu_1_67.png	['Music', '⿳', '⿰', 'LEFT_FINGER_DA', '9', 'RIGHT_MO', '⿺', 'RIGHT_TIAO', '6']	34	40
wushen_jzp/Music/images/wushenqinpu_1_69.png	['Music', '⿱', '⿰', 'LEFT_FINGER_MING', '10', 'LEFT_DUIQI']	30	42
wushen_jzp/Music/images/wushenqinpu_1_70.png	['Music', '⿱', '9', '⿹', 'RIGHT_GOU', '5']	30	43
wushen_jzp/Music/images/wushenqinpu_1_72.png	['Music', '⿳', '⿰', 'LEFT_FINGER_DA', '9', 'RIGHT_MO', '6']	30	41
wushen_jzp/Music/images/wushenqinpu_1_73.png	['Music', '⿱', '⿰', 'LEFT_FINGER_DA', '8', '⿺', 'RIGHT_TIAO', '6']	34	34
wushen_jzp/Music/images/wushenqinpu_1_75.png	['Music', '⿱', 'TECHNIQUE_SAN_YIN', '⿺', 'RIGHT_TIAO', '6']	36	34
wushen_jzp/Music/images/wushenqinpu_1_76.png	['Music', '⿱', '⿰', 'LEFT_FINGER_MING', '10', '⿹', 'RIGHT_GOU', '4']	29	42
wushen_jzp/Music/images/wushenqinpu_1_79.png	['Music', '⿱', 'RIGHT_MO', '⿹', 'RIGHT_GOU', '4']	27	43
wushen_jzp/Music/images/wushenqinpu_1_81.png	['Music', '⿱', '⿰', 'LEFT_FINGER_ZHONG', 'LEFT_CHUO', '⿹', 'RIGHT_GOU', '1']	25	42
wushen_jzp/Music/images/wushenqinpu_1_83.png	['Music', '⿸', 'RIGHT_LI', '⿱', '4', '5']	36	37
wushen_jzp/Music/images/wushenqinpu_1_86.png	['Music', '⿱', '⿰', 'LEFT_FINGER_ZHONG', 'LEFT_WAI', '⿰', 'LEFT_ZHU', '⿹', 'RIGHT_GOU', '1']	28	39
wushen_jzp/Music/images/wushenqinpu_1_87.png	['Music', '⿱', 'LEFT_SHANG', '10']	14	34
wushen_jzp/Music/images/wushenqinpu_1_89.png	['Music', '⿱', 'LEFT_SHANG', '9']	21	35
wushen_jzp/Music/images/wushenqinpu_1_90.png	['Music', '⿱', 'O_JIAN', 'RIGHT_GOU', 'RIGHT_GOU', '2']	26	43
wushen_jzp/Music/images/wushenqinpu_1_92.png	['Music', '⿸', 'RIGHT_LI', '5']	36	31
wushen_jzp/Music/images/wushenqinpu_1_93.png	['Music', '⿱', '4', '3']	32	32
wushen_jzp/Music/images/wushenqinpu_1_94.png	['Music', '⿱', '⿰', 'LEFT_FINGER_ZHONG', '10', '⿹', 'RIGHT_GOU', '1']	27	47
wushen_jzp/Music/images/wushenqinpu_1_95.png	['Music', '⿺', 'RIGHT_TIAO', '⿱', 'TECHNIQUE_SAN_YIN', '6']	35	36
wushen_jzp/Music/images/wushenqinpu_1_96.png	['Music', '⿱', '⿰', 'LEFT_FINGER_MING', '10', '⿹', 'RIGHT_GOU', '4']	27	42
wushen_jzp/Music/images/wushenqinpu_1_97.png	['Music', '⿺', 'RIGHT_TIAO', '⿱', 'TECHNIQUE_SAN_YIN', '6']	36	36
wushen_jzp/Music/images/wushenqinpu_1_98.png	['Music', '⿺', 'RIGHT_TIAO', '⿱', '⿰', '10', '10', '7']	37	36
wushen_jzp/Music/images/wushenqinpu_1_100.png	['Music', '⿱', '⿰', 'LEFT_FINGER_MING', 'LEFT_WAI', '⿹', 'RIGHT_GOU', '6']	25	41
wushen_jzp/Music/images/wushenqinpu_1_101.png	['Music', '⿱', 'LEFT_SHANG', '10']	19	40
wushen_jzp/Music/images/wushenqinpu_1_105.png	['Music', '⿺', 'RIGHT_TIAO', '6']	36	29
wushen_jzp/Music/images/wushenqinpu_1_106.png	['Music', '⿱', 'TECHNIQUE_SAN_YIN', '⿹', 'RIGHT_GOU', '3']	26	40
wushen_jzp/Music/images/wushenqinpu_1_107.png	['Music', '⿱', '⿰', 'LEFT_FINGER_MING', '10', '⿺', 'RIGHT_TIAO', '6']	33	40
wushen_jzp/Music/images/wushenqinpu_1_110.png	['Music', '⿱', '⿰', 'LEFT_FINGER_MING', '10', '⿹', 'RIGHT_GOU', '4']	28	43
wushen_jzp/Music/images/wushenqinpu_1_111.png	['Music', '⿱', '⿰', 'LEFT_FINGER_DA', '9', '⿺', 'RIGHT_TIAO', '6']	34	37
wushen_jzp/Music/images/wushenqinpu_1_112.png	['Music', '⿱', '⿰', 'LEFT_FINGER_SHI', '9', '⿹', 'RIGHT_GOU', '3']	28	41
wushen_jzp/Music/images/wushenqinpu_1_113.png	['Music', '⿱', '⿰', 'LEFT_FINGER_DA', '7', '⿺', 'RIGHT_TIAO', '6']	36	42
wushen_jzp/Music/images/wushenqinpu_1_114.png	['Music', '⿱', '⿰', 'LEFT_FINGER_ZHONG', '7', '⿹', 'RIGHT_GOU', '1']	28	42
wushen_jzp/Music/images/wushenqinpu_1_115.png	['Music', '⿱', '⿰', 'LEFT_FINGER_MING', '9', '⿹', 'RIGHT_GOU', '3']	29	42
wushen_jzp/Music/images/wushenqinpu_1_116.png	['Music', '⿱', '⿰', 'LEFT_FINGER_DA', '7', '⿺', 'RIGHT_TIAO', '6']	36	38
wushen_jzp/Music/images/wushenqinpu_1_117.png	['Music', '⿱', '⿰', 'LEFT_FINGER_ZHONG', '7', '⿹', 'RIGHT_DA', '1']	34	39
wushen_jzp/Music/images/wushenqinpu_1_118.png	['Music', '⿱', '⿰', 'LEFT_FINGER_MING', '7', '⿹', 'RIGHT_GOU', '3']	28	41
wushen_jzp/Music/images/wushenqinpu_1_119.png	['Music', '⿱', '⿰', 'LEFT_FINGER_MING', '5', '⿹', 'RIGHT_GOU', '3']	26	40
