id	text	w	h
zyt_qingpu/Music/images/ziyuantang_104_0.png	['Music', '⿱', '⿰', 'LEFT_FINGER_ZHONG', '8', '⿹', 'RIGHT_GOU', '1']	41	39
zyt_qingpu/Music/images/ziyuantang_104_3.png	['Music', '⿱', 'TECHNIQUE_SAN_YIN', '⿺', 'RIGHT_TUO', '6']	41	43
zyt_qingpu/Music/images/ziyuantang_104_4.png	['Music', '⿱', '⿰', 'LEFT_FINGER_ZHONG', '8', '⿹', 'RIGHT_GOU', '1']	33	36
zyt_qingpu/Music/images/ziyuantang_104_6.png	['Music', '⿱', '⿰', 'LEFT_FINGER_MING', '7', '⿹', 'RIGHT_GOU', '2']	47	43
zyt_qingpu/Music/images/ziyuantang_104_9.png	['Music', '⿱', '⿰', 'LEFT_FINGER_MING', '⿱', '6', '4', '⿰', 'LEFT_ZHU', '⿺', 'RIGHT_TIAO', '2']	45	41
zyt_qingpu/Music/images/ziyuantang_104_12.png	['Music', '⿱', '⿰', 'LEFT_FINGER_ZHONG', '7', '⿹', 'RIGHT_GOU', '1']	46	38
zyt_qingpu/Music/images/ziyuantang_104_13.png	['Music', '⿱', 'TECHNIQUE_SAN_YIN', '⿺', 'RIGHT_TUO', '6']	47	38
zyt_qingpu/Music/images/ziyuantang_104_14.png	['Music', '⿱', '⿰', 'LEFT_FINGER_MING', '9', '⿰', 'LEFT_ZHU', '⿹', 'RIGHT_GOU', '2']	43	41
zyt_qingpu/Music/images/ziyuantang_104_16.png	['Music', '⿱', '⿰', 'LEFT_FINGER_DA', '9', '⿹', 'RIGHT_GOU', '3']	42	40
zyt_qingpu/Music/images/ziyuantang_104_17.png	['Music', '⿱', 'LEFT_CHUO', '⿺', 'RIGHT_TIAO', '4']	37	40
zyt_qingpu/Music/images/ziyuantang_104_19.png	['Music', '⿱', '⿰', 'LEFT_FINGER_DA', '8', '⿺', 'RIGHT_TIAO', '⿱', 'LEFT_WAI', '3']	43	45
zyt_qingpu/Music/images/ziyuantang_104_21.png	['Music', '⿱', '⿰', 'LEFT_FINGER_MING', '9', 'TECHNIQUE_FAN_QI']	35	34
zyt_qingpu/Music/images/ziyuantang_104_22.png	['Music', '⿱', 'LEFT_JIU', '⿹', 'RIGHT_GOU', '2']	43	38
zyt_qingpu/Music/images/ziyuantang_104_23.png	['Music', '⿱', 'TECHNIQUE_SAN_YIN', '⿺', 'RIGHT_TIAO', '5']	36	39
zyt_qingpu/Music/images/ziyuantang_104_24.png	['Music', '⿺', 'RIGHT_TUO', '6']	42	37
zyt_qingpu/Music/images/ziyuantang_104_25.png	['Music', '⿹', 'RIGHT_GOU', '1']	38	47
zyt_qingpu/Music/images/ziyuantang_104_26.png	['Music', '⿱', '⿰', 'LEFT_FINGER_MING', '8', '⿰', 'LEFT_ZHU', '⿹', 'RIGHT_GOU', '4']	38	38
zyt_qingpu/Music/images/ziyuantang_104_28.png	['Music', '⿱', '⿰', 'LEFT_FINGER_DA', '⿱', '7', '6', '⿹', 'RIGHT_GOU', '5']	43	43
zyt_qingpu/Music/images/ziyuantang_104_29.png	['Music', '⿱', '⿰', 'LEFT_FINGER_DA', '⿱', '7', '9', '⿰', 'LEFT_ZHU', '⿺', 'RIGHT_TIAO', '6']	38	41
zyt_qingpu/Music/images/ziyuantang_104_31.png	['Music', '⿱', '⿰', 'LEFT_FINGER_DA', '7', '⿺', 'RIGHT_TIAO', '5']	38	33
